city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Magnolia Springs AL,82.9,3.3,0,1.2,9.8,2.8,38.4
Clay AL,90.6,8,0,0,1.2,0.2,28.3
Pinson AL,86.8,10.5,0,0,1.6,1,33.1
Twin AL,83.9,13,0,0,0,3.1,22.7
Cusseta AL,91.2,8.8,0,0,0,0,22.2
Munford AL,89,8.9,0,2.1,0,0,20.6
Perdido Beach AL,89.8,2.9,0,0,5.9,1.5,33.5
Kimberly AL,86.6,10,0.8,0,2.6,0,29
Hughes AK,0,0,0,67.6,0,32.4,3.4
Huslia AK,11.7,2.5,0,56.7,2.5,26.7,7.3
McGrath AK,40.5,7.6,0,25.2,12.2,14.5,7.7
Angoon AK,18.9,8.4,4.9,65,1.4,1.4,9.2
Shishmaref AK,0,0,0,70.3,6.3,23.4,4.9
Teller AK,17.9,7.5,0,56.7,0,17.9,8.5
Manokotak AK,7.4,6.5,0.9,66.1,3.2,15.9,5.5
Kotlik AK,0,0,0,57.2,0.6,42.2,6.8
St. Mary's AK,14.4,13.2,0,31.1,2.4,38.9,6.4
Kaktovik AK,15.5,14.1,1.4,56.3,5.6,7,5.9
Goodnews Bay AK,18,4,2,40,10,26,4.7
Napakiak AK,6.5,5.6,0,47.7,1.9,38.3,6
Craig AK,48.4,7.9,1.5,24.2,8.9,9.2,15
Newhalen AK,25.6,0,0,39.5,0,34.9,3.7
Pilot Point AK,37.9,0,0,51.7,3.4,6.9,3.4
Eagle AK,32.3,0,0,51.6,9.7,6.5,15.7
Juneau AK,67.2,14.5,5.3,6.4,4.3,2.3,15.6
Cordova AK,64.4,10.7,0.3,17.7,4.6,2.3,9.9
Valdez AK,75.2,10,0.5,9.2,2.3,2.8,10.5
Gambell AK,9.1,0,0,36,8.1,46.7,5.5
Golovin AK,7.8,0,0,41.2,0,51,5
Klawock AK,54.4,15.9,0,20.9,1.7,7.1,15.8
Ketchikan AK,61,16.3,4.1,13,3.1,2.5,10.1
Coffman Cove AK,83.3,0,0,4.8,0,11.9,31.2
Sitka AK,60.9,12.4,1.4,15.6,4.2,5.6,10.4
North Pole AK,77.9,15.4,0,2.2,2.4,2.2,23.8
Marshall AK,4.3,2.2,0,58.1,2.2,33.3,4.9
Koyuk AK,0,0,0,29.8,1.8,68.4,4.5
Wales AK,0,0,0,62.1,6.1,31.8,8.5
Pelican AK,0,0,0,56.6,26.4,17,7.2
Nulato AK,18.7,16,0,44,1.3,20,6.8
Cold Bay AK,75.5,4.1,0,18.4,2,0,6.9
Shungnak AK,0,0,0,69.7,0,30.3,8.3
Shaktoolik AK,8.4,8.4,0,42.1,2.1,38.9,4.6
Elim AK,9.3,0,1.3,62.7,6.7,20,6.1
Delta Junction AK,80.3,8.7,0,5.9,4.4,0.7,13.1
Atka AK,6.3,3.1,0,6.3,0,84.4,5.3
Hydaburg AK,29.9,17.2,0,42.5,0,10.3,24.3
Russian Mission AK,0,0,0,35.1,2.7,62.2,7.2
Kake AK,52.4,24.5,0,14.8,0,8.3,7.2
Port Alexander AK,0,0,0,71.4,0,28.6,13.7
Egegik AK,21.3,21.3,0,55.3,0,2.1,14.7
Port Heiden AK,46.7,6.7,0,23.3,0,23.3,9.8
Togiak AK,31.8,8.4,0,20.1,3.9,35.8,8.4
Kobuk AK,0,0,0,51.2,9.3,39.5,4.6
Chefornak AK,0,0,0,64.2,1.7,34.2,5
Lower Kalskag AK,16.7,3.8,7.7,51.3,6.4,14.1,6.5
Toksook Bay AK,0.6,0,0,56.1,4.4,38.9,4.2
Upper Kalskag AK,35.2,9.3,5.6,11.1,7.4,31.5,7
Wasilla AK,73.1,9.8,0.2,4.5,6.1,6.3,30.7
Napaskiak AK,5.6,0,0,50,0,44.4,6.7
Shageluk AK,0,0,0,76.5,14.7,8.8,6.9
Dillingham AK,53.5,25.3,1.4,8.6,7.5,3.7,9.4
Quinhagak AK,4.5,5,0,30.2,1.7,58.7,4.1
Pilot Station AK,5.2,6,0,43.3,4.5,41,5
Port Lions AK,46.4,16.1,0,14.3,3.6,19.6,9.2
Mountain Village AK,8.5,0.4,0,51.9,0.8,38.4,4.7
Scammon Bay AK,0,0,0,47.7,9.1,43.2,4.6
Point Hope AK,14.1,9.9,0,23.2,4.2,48.6,3.2
Hoonah AK,45.3,15.9,3.6,23.2,4.5,7.5,9.2
Kaltag AK,4.2,0,0,52.1,2.1,41.7,4.7
Ruby AK,31,0,0,36.2,5.2,27.6,8.3
Akutan AK,0,0,0,94.8,1.8,3.4,4.6
Aniak AK,41.8,9.9,2.2,12.6,2.2,31.3,6.5
Mekoryuk AK,8.2,4.7,0,44.7,9.4,32.9,4.1
Buckland AK,2.3,3,0,55.3,7.6,31.8,5.9
Deering AK,5.7,0,5.7,41.5,3.8,43.4,12
Nikolai AK,0,0,0,78.1,6.3,15.6,10.2
Palmer AK,75.4,11,0.9,3.9,4.4,4.3,30.2
Nunapitchuk AK,0,0,0,41.5,2.1,56.5,5.5
Platinum AK,0,0,0,0,50,50,0
Houston AK,72.6,9.1,0,0.4,8.1,9.8,37.7
Bettles AK,0,0,0,66.2,31.1,2.7,0
Koyukuk AK,0,0,0,66.7,9.5,23.8,3.9
Homer AK,60.8,13.6,1,6.8,9.3,8.6,13
Soldotna AK,76.9,6.6,3,5.6,3.2,4.6,15
Kodiak AK,59.3,16.4,0,10.8,6.1,7.4,9.9
Seldovia AK,37.2,6.4,0,27.7,12.8,16,8.4
Whittier AK,39.4,9,0,45.2,5.2,1.3,11
Tenakee Springs AK,21.9,0,6.3,0,18.8,53.1,9
Fairbanks AK,71,16.2,1.2,7,1.8,2.9,12.9
New Stuyahok AK,4.8,6.4,0,43.2,4.8,40.8,5.7
Kiana AK,4.1,0,0,55.4,4.1,36.5,4.9
Akiak AK,11.7,4.5,0,44.1,4.5,35.1,4.6
Kwethluk AK,5.5,1.8,0,59.8,0.6,32.3,6.3
Nightmute AK,0,0,0,73.7,7,19.3,4.2
Fort Yukon AK,25.9,16.6,2.4,30.7,9.3,15.1,7.6
Grayling AK,9.3,0,0,74.4,0,16.3,3.6
Tanana AK,32.7,7.5,0,35.5,0,24.3,8.5
Kivalina AK,1.6,0,0,58.7,2.6,37,6.1
Aleknagik AK,39.3,24.6,0,11.5,3.3,21.3,21.4
Ekwok AK,8.7,4.3,0,13,4.3,69.6,3.4
Ambler AK,0,0,0,65.2,2.2,32.6,7.5
Kotzebue AK,31.6,18.1,0.3,34,4.2,11.9,6.2
Galena AK,56.5,15.2,0,14.8,4.5,9,6.3
Bethel AK,43.6,25.3,0.4,15,4.3,11.4,9.5
Eek AK,0,0,0,48.1,2.9,49,5.9
Brevig Mission AK,0,0,0,58.8,4.1,37.1,4.6
Nome AK,41.9,18.3,0.5,26.6,4.5,8.3,7.9
Savoonga AK,2,0,0,31.9,6.4,59.8,4.3
Larsen Bay AK,31.6,0,0,36.8,10.5,21.1,5.3
Ouzinkie AK,43.7,0,0,28.2,0,28.2,11.3
Wainwright AK,19.1,16.3,0.6,48.3,2.2,13.5,4.5
Kenai AK,71.6,11.3,2.4,2.5,4.2,8.1,21.3
Diomede AK,0,0,5.9,94.1,0,0,3.2
St. Michael AK,1.7,9.2,0,31.7,2.5,55,9.5
Stebbins AK,0.8,0,0,50,5.1,44.1,6.4
Akhiok AK,0,0,0,88.2,0,11.8,3.5
Old Harbor AK,28.9,7.4,1.7,7.4,5,49.6,11.5
Chevak AK,0,4.1,0,55.7,5.9,34.4,7
Emmonak AK,7,3.8,0,44.3,3.8,41.1,10.4
Alakanuk AK,6,6,0,22.7,2,63.3,9
Anderson AK,77.8,11.1,0,7.8,3.3,0,17.4
Anaktuvuk Pass AK,18.8,7.2,0,52.2,4.3,17.4,4.6
Nuiqsut AK,23.8,41,0,30.3,0.8,4.1,3.8
False Pass AK,63.8,23.4,0,4.3,0,8.5,4.5
Atqasuk AK,10.3,12.1,0,62.1,0,15.5,4.8
Unalaska AK,46.3,8.7,0.2,42.6,0.4,1.7,8
Kasaan AK,35.7,2.4,0,38.1,0,23.8,38
Unalakleet AK,17.8,4.5,0,61,4.2,12.5,5.6
White Mountain AK,0,0,0,31.8,12.1,56.1,5.3
Sand Point AK,44.1,7,0.2,42,4.6,2,5.9
St. George AK,6.5,21.7,0,63,0,8.7,7.5
Saxman AK,70.6,5.9,3.7,11.8,0,8.1,12.6
Kupreanof AK,20,0,0,80,0,0,0
Nondalton AK,25,4.2,0,39.6,0,31.3,6.4
Thorne Bay AK,50.9,5.3,4.4,27.9,5.8,5.8,12.2
Anvik AK,11.9,0,0,19,16.7,52.4,2.9
Holy Cross AK,3.1,7.7,0,36.9,15.4,36.9,2.8
Seward AK,64.8,13.1,0,14.4,6.5,1.3,7.4
Noorvik AK,7.6,2.1,0,61.8,10.4,18.1,7.1
Chuathbaluk AK,9.7,0,6.5,54.8,0,29,4.5
Chignik AK,55,5,0,25,0,15,6.3
St. Paul AK,46,14.4,0,24.7,3.4,11.4,7.6
Allakaket AK,0,0,1.5,54.5,15.2,28.8,11.9
Hooper Bay AK,3.1,2.2,0,36,1.3,57.5,5.8
King Cove AK,25.6,9.9,0,50.9,10.2,3.3,4.9
Nenana AK,51.1,15.1,0,22.3,1.4,10.1,21.7
Selawik AK,0,0,0,52.2,0,47.8,6.9
Adak AK,80.4,7.8,0,5.9,5.9,0,6.1
Nunam Iqua AK,0,0,0,18.8,0,81.3,3.4
Gustavus AK,63.3,5.6,0,3.9,17.8,9.4,11.5
Clark's Point AK,0,0,0,66.7,26.7,6.7,0
Wrangell AK,58.6,10.6,0.8,15.8,8.4,5.8,9.4
Edna Bay AK,0,0,0,0,0,100,0
Tucson AZ,73.6,10.9,4.1,3.1,3.7,4.5,22.2
Casa Grande AZ,79,12.6,0.1,2.2,4,2.1,22.6
Springerville AZ,81.7,9.7,0,1.1,7.5,0,12.9
Clarkdale AZ,80.5,9.3,0.3,5.3,4.3,0.4,23.8
Prescott AZ,74.2,9.7,0.3,5,7.8,3.1,18
Pinetop-Lakeside AZ,87.1,6.2,0,3.9,0.7,2,14.9
South Tucson AZ,71.3,8,4.4,7.9,3.3,5.1,23.9
Superior AZ,79.8,12.3,0,5.8,2,0,24.1
Duncan AZ,70.1,22.9,0,0,7,0,34.4
Eloy AZ,79.5,10.4,0,2.7,5,2.4,23.3
Nogales AZ,84.7,8.3,0.8,2,2.3,2,18.7
Hayden AZ,79.4,14.2,0,6.5,0,0,15
Benson AZ,87,7.4,0,1.7,2.7,1.1,20.7
Douglas AZ,71.2,17.8,0.2,2.7,4.4,3.7,15.6
Huachuca City AZ,87.1,5.3,1.8,2.4,0,3.3,20.2
Camp Verde AZ,71.9,17.6,0.3,2.2,6.8,1.3,22.8
Coolidge AZ,79.1,15,0.1,2.5,2.9,0.4,24.9
Florence AZ,78.4,7.6,1.2,4,8.5,0.2,23.5
Winslow AZ,68.7,17.2,0.1,6.8,3.6,3.6,11.7
Marana AZ,82.4,7.1,0.1,0.4,7.1,2.9,29.8
Sierra Vista AZ,76.6,9.4,1.5,4.1,5.6,2.9,17.9
Yuma AZ,82.1,9.5,0.9,2.9,2.6,2,15.7
Colorado City AZ,76.1,14.7,0,0,9.2,0,20.8
Kearny AZ,79.5,15.2,3.3,1,0,1.1,20
Sedona AZ,70.8,5.8,0.1,3,18.2,2.1,16.4
Chino Valley AZ,82.1,10.2,0,1.4,5,1.3,26.7
Prescott Valley AZ,77.1,14.3,0,1.1,5.4,2.2,20.7
Clifton AZ,90.6,7.8,0,1.6,0,0,13.9
San Luis AZ,73.1,13.9,6.6,1.4,3.8,1.2,28.6
Wellton AZ,80.7,3.7,0.2,4.4,11,0,36.3
Patagonia AZ,60.8,3.8,0,18.2,11.3,6,15.2
Mammoth AZ,78.2,15.9,2.3,0.7,2.3,0.7,31.9
Bisbee AZ,85,6,0,3.4,3.8,1.7,20.4
Tombstone AZ,67.3,13.3,0,15.7,1.2,2.5,16.6
Willcox AZ,86.6,9.3,0,2,2.2,0,16.5
Lake Havasu City AZ,80.3,12.4,0.1,1,4.1,2.2,20.8
Jerome AZ,79.3,5.4,0,0,12.8,2.5,21.5
Scottsdale AZ,77.7,5.9,1.2,1.6,11.4,2.2,22.1
Youngtown AZ,79,14.1,0.9,0.2,3.8,2.1,28.7
Bullhead City AZ,77.7,14.2,1.2,2.2,2,2.7,19
Avondale AZ,78.6,13.4,1,0.9,4.3,1.7,28.1
Tempe AZ,72.7,8.5,5,4.3,4.3,5.2,20.9
Tolleson AZ,79.2,12.1,2.1,4.1,1.5,0.9,23.4
Miami AZ,82.1,10.8,0,1.8,4.1,1.2,18.4
Thatcher AZ,77.8,12.9,0.6,2.7,3.3,2.7,17.9
Carefree AZ,75.2,14.1,0,0.2,6.2,4.3,26.7
Paradise Valley AZ,71.3,8.1,0.1,3.1,15.3,2,23.1
Surprise AZ,80.3,9.8,0.2,0.7,6.9,2.1,30.3
Fountain Hills AZ,77.6,6.8,0,1.9,11,2.6,26
Litchfield Park AZ,73.6,9.5,1.4,0.9,11.3,3.2,32.1
St. Johns AZ,85.1,12.2,0,0,2.7,0,11.9
Goodyear AZ,79.4,10.2,0.2,0.6,7.9,1.8,29
Guadalupe AZ,74.7,13.7,2.1,0,5.2,4.4,20.8
Parker AZ,74.4,13.7,0,7.7,2.5,1.8,10.6
Taylor AZ,77.7,15.9,0,0,3.8,2.6,22.7
Holbrook AZ,70.5,15.3,0.9,8.9,3,1.4,14.9
Winkelman AZ,54.5,16.2,0,23.2,6.1,0,19.6
Oro Valley AZ,80,5.9,0.6,0.9,8.6,3.9,28.5
Sahuarita AZ,84.8,8.8,0.4,0.8,3.1,2,27.5
Snowflake AZ,78.4,6.8,3.2,3.4,8.2,0,22.3
Quartzsite AZ,27,0,0.5,28.5,26.3,17.7,5.6
Kingman AZ,81.7,11.7,1.9,1.3,2,1.4,16.7
Globe AZ,78.5,14.4,0,2.5,2.2,2.3,13.9
Apache Junction AZ,78,11.8,0.1,2.4,5,2.8,26.6
Cave Creek AZ,74.9,6.2,2.6,0.3,13,2.9,28.3
Peoria AZ,80.3,9.9,0.6,0.6,6.8,1.7,28.1
Queen Creek AZ,77,10.1,0.5,1,10,1.5,33.1
Fredonia AZ,70.2,17.4,0,1.4,11,0,16.1
Page AZ,76,11.4,0,9.4,0.5,2.7,10.7
Cottonwood AZ,70.8,10.1,2.5,9.3,4,3.3,23.1
Payson AZ,80.9,10.8,0.2,0.8,6.6,0.7,18.1
Chandler AZ,78.6,10.2,0.9,1.2,6.6,2.5,24
El Mirage AZ,81.9,12.5,0.2,0.3,3.3,1.9,28.6
Glendale AZ,75.6,13,2.7,1.2,5.1,2.4,27.6
Mesa AZ,76.2,11.5,2.2,1.7,5.6,2.8,24.8
Wickenburg AZ,75.7,12.3,1.3,1,9.4,0.2,19.8
Flagstaff AZ,68.6,9.8,2.1,10.4,3.7,5.3,15.7
Phoenix AZ,74.6,12.5,3.3,1.7,5.4,2.5,25.4
Pima AZ,73.9,16,0,0.7,6.6,2.8,24.6
Gilbert AZ,80.1,8.8,0.8,0.7,7.6,2,27.7
Williams AZ,74.1,9.5,0.1,8.9,4,3.4,19
Safford AZ,79,16.9,0.2,1.2,2.3,0.4,14.8
Show Low AZ,77.3,11,0.8,4,5.6,1.3,16.5
Gila Bend AZ,84.8,12.6,0,1.7,0,1,12.1
Somerton AZ,85.7,8.1,1.8,1.6,1.3,1.4,24.1
Eagar AZ,81.8,17.9,0,0,0.3,0,16.3
Maricopa AZ,76.2,12.6,0.3,1.2,6.8,2.9,35
Dewey-Humboldt AZ,67.9,24.8,0,0,7.3,0,28.3
Star Valley AZ,83.7,10.3,0,2.9,3.1,0,20.4
Buckeye AZ,80.2,11.5,0.1,1,5.7,1.6,31.5
Egypt AR,100,0,0,0,0,0,20
Rogers AR,85.3,9.5,0.1,1.6,2.8,0.8,16.4
Alpena AR,78.5,13.9,0,4.9,1.4,1.4,21.1
Everton AR,85.7,14.3,0,0,0,0,15.9
Hope AR,78.7,16.7,0.4,0.9,1.5,1.8,15.4
Hartman AR,76.6,15.6,0,0,7.8,0,23.4
Barling AR,81.8,9.7,0,0,0.7,7.8,20.6
McCrory AR,85.5,12,0.7,0.7,0,1.1,18
Huttig AR,90.1,6.4,0,3.5,0,0,38.7
Fayetteville AR,78.6,9.3,1.6,4.4,4.1,2.1,19.5
Springdale AR,78.9,17.5,0.3,0.4,2.3,0.6,19.4
Tontitown AR,89.9,4.8,0,0.5,4.8,0,22.4
Newport AR,76.4,11.6,0.3,2.2,7.2,2.2,13.9
Marvell AR,91.1,3.1,0,5.8,0,0,20.7
Charleston AR,84.2,11.8,0,2.5,1.4,0,25.8
West Point AR,83.7,9.3,0,0,7,0,15.5
Green Forest AR,77.9,8.2,0,10.2,2.9,0.8,16.7
St. Paul AR,69.2,0,0,30.8,0,0,18.1
Ashdown AR,73.7,22.9,0,3.3,0,0,22
Scranton AR,83.1,12,0,0,4.8,0,35.2
Delaplaine AR,48.4,12.9,0,0,25.8,12.9,12.6
Pineville AR,78.2,16.1,0,0,5.7,0,20.9
Black Oak AR,98.8,1.3,0,0,0,0,22.5
Subiaco AR,64.7,17.9,0,5.3,12.1,0,20.3
Hackett AR,80,11.6,0,0,7.4,1.1,19.2
Gentry AR,86.2,10.1,0,0.8,1.9,1,24.4
Earle AR,76.3,14.1,0.1,7.8,0,1.6,26.2
Willisville AR,89,3,0,0,0,8,31.6
Jasper AR,84.9,2.2,0,12.8,0,0,15
Mountainburg AR,71.4,14.1,0,6.8,6.8,1,26.8
Bay AR,88.2,10.4,0,0.8,0,0.6,20.9
Oxford AR,80.1,9.7,0,1.4,5.1,3.7,26.1
Hickory Ridge AR,86.7,7.5,0,0,5.8,0,34.3
Higginson AR,88,9.1,0,2.3,0.6,0,17.7
Griffithville AR,77.3,20.5,0,2.3,0,0,20.7
Lepanto AR,83.2,12.9,0.4,3.4,0,0,25.8
Oppelo AR,87.6,10,0,0,0.7,1.7,23.9
Shannon Hills AR,86.9,7.9,0,3.7,0.6,0.9,26.2
Vandervoort AR,85.3,11.8,0,2.9,0,0,35.3
Walnut Ridge AR,86.6,8.6,0.2,4.2,0.4,0,16.8
Rondo AR,98.5,1.5,0,0,0,0,28
Murfreesboro AR,78,17.7,0.5,1.2,0.3,2.3,18.9
Gum Springs AR,92.7,7.3,0,0,0,0,17.5
Lakeview AR,79.9,11.1,0,3.4,4.7,0.9,18.8
Maumelle AR,86.7,8.2,0,0.5,2.9,1.8,25.3
Forrest City AR,86.7,7.9,0,0.8,2.8,1.8,16.9
Diamond City AR,86.6,8,0,0,5.5,0,26.1
Strong AR,93.1,6.9,0,0,0,0,32.2
Fountain Lake AR,82.9,9.9,0,1.1,6.1,0,24.4
Oak Grove AR,74.7,20.2,0,2.8,2.2,0,24.2
Portia AR,93.2,3.8,0,0.4,2.5,0,17.9
Springtown AR,97.6,2.4,0,0,0,0,12.3
Leola AR,82.6,15.2,0,0.9,0.9,0.4,23.3
Cotter AR,81.7,10.1,0,2.8,4.2,1.1,16.8
Tuckerman AR,94.5,3.6,0,0,1.9,0,19.9
Holland AR,80,17.4,0,0,1.3,1.3,26.2
Stamps AR,76.3,20.8,0,0,1.6,1.3,28.4
Kensett AR,87.8,5.9,0,5.4,0.6,0.4,14
Trumann AR,87.5,7.7,0,0.3,3.3,1.2,21.1
Smithville AR,71.1,6.7,0,22.2,0,0,35.7
Ward AR,86.8,8.4,0,0.8,3.9,0,33.1
Wilmot AR,64.6,12.2,0,13.8,0,9.5,19.7
Marie AR,100,0,0,0,0,0,29.6
Jennette AR,100,0,0,0,0,0,23.2
West Memphis AR,82.7,9.7,0.6,1.8,1,4.2,16.4
Monette AR,90.3,9,0,0,0.8,0,21.9
Blytheville AR,84.5,12.5,0.6,0.2,1.4,0.8,16.1
McNab AR,92,8,0,0,0,0,32
Birdsong AR,93.3,6.7,0,0,0,0,0
Dyess AR,66.4,22.7,2.7,0,8.2,0,27
Joiner AR,75.9,9.6,0,10.2,0,4.2,20.4
Batesville AR,77.7,12.6,0,2.3,5.2,2.2,13.1
Oak Grove Heights AR,81.7,13.8,0,1,1.3,2.3,21.5
Calico Rock AR,72.4,20.1,0,2.9,3.4,1.1,14.6
West Fork AR,88.6,7.7,0,0,2.4,1.3,23.8
Oil Trough AR,72.3,9.9,0,0,2,15.8,21.7
McDougal AR,88,0,0,8,0,4,31.2
Plumerville AR,77.1,21,0,0,0.9,0.9,21.7
Austin AR,83.2,9.7,0.4,0,6.4,0.3,26.1
Reed AR,100,0,0,0,0,0,15.4
Bluff City AR,98.1,1.9,0,0,0,0,34
De Queen AR,62.6,35.1,0,0.2,1.3,0.8,22
Ben Lomond AR,65.6,34.4,0,0,0,0,29.8
Cave City AR,81.9,13.9,0,1.8,0.3,2.1,20.2
Newark AR,80.1,18.7,1.2,0,0,0,22.9
Gosnell AR,91.1,6.7,0,0,0,2.2,18.2
Whelen Springs AR,50,50,0,0,0,0,27.3
Altheimer AR,79.2,7.7,1.1,4.9,3.5,3.5,24.5
White Hall AR,91.1,5.4,0,0.7,0,2.8,21.3
Minturn AR,77.8,16.7,0,5.6,0,0,27.8
North Little Rock AR,83.7,9.1,2.3,1.2,2.7,1,19.3
Stephens AR,87.3,11.8,0,0,0,0.9,30.4
Colt AR,90.5,9.5,0,0,0,0,21.6
Madison AR,71.8,24.1,0,4.1,0,0,22.8
Palestine AR,81.4,4.8,0,3,7.8,3,17
Cave Springs AR,85.8,4.5,0,1.2,7.9,0.5,20
Brinkley AR,78.1,16.4,0,1.5,4,0,18.4
Alma AR,89.4,8.4,0,1.8,0.4,0,21.4
Corning AR,90.7,5.4,0,2.7,1.1,0,21
Texarkana AR,84.8,9.4,0.3,1.7,2.6,1.2,14.6
Lonoke AR,84.7,10.4,0,2.6,0.4,1.9,25.1
Eudora AR,88.6,2.1,0,1.4,0.7,7.3,22.2
Kingsland AR,87.5,9,1.4,0,0,2.1,24.4
Parkin AR,69.1,18.3,3.7,5.7,3.3,0,30
Van Buren AR,87,9.7,0.2,1.4,1.2,0.5,19.6
Salem AR,83.1,6.4,0,2.3,4.2,4.1,22.3
Imboden AR,78.3,15.6,3.8,0,2.4,0,42.2
Sedgwick AR,87.1,12.9,0,0,0,0,23.5
Booneville AR,89.7,4.6,2,2.6,0.9,0.1,18.2
Magazine AR,76.8,19.2,0,1.1,0.9,2,27.2
Marmaduke AR,77.9,17.8,0,4.3,0,0,19.7
Humphrey AR,82.3,9.4,0,5.4,3,0,20
Marshall AR,75.8,18.9,0.3,4.3,0,0.8,18.2
Pindall AR,100,0,0,0,0,0,21.7
Rudy AR,62.9,33.7,0,3.4,0,0,19.5
Hatfield AR,81.5,11,0,0.7,4.1,2.7,28.1
Dover AR,74.4,20.8,0,0,3.9,0.9,18.8
Russellville AR,81.4,11,0,3,2.2,2.4,14.8
Fordyce AR,65.4,22.7,0,8.1,1.4,2.4,25.9
Sparkman AR,66.5,10.4,0,15.2,0,7.9,19.5
Daisy AR,73,13.5,0,8.1,2.7,2.7,30
Hughes AR,82.2,14,0,1,2.9,0,25.4
Swifton AR,84.5,0.4,1.4,8.1,5.7,0,22.4
Tupelo AR,96.6,0,0,0,3.4,0,34.2
Mineral Springs AR,73.6,26.4,0,0,0,0,18.4
Hot Springs AR,77.2,12,1,3.6,4.2,2,17.7
Lake View AR,75.5,16.3,0,6.1,0,2,27.3
Gravette AR,68.9,20.6,3,3.8,2.7,1.1,26.4
Valley Springs AR,78.8,1.5,0,9.1,10.6,0,15.9
Marion AR,86.7,7.4,0,0.3,4.9,0.6,21.5
Coal Hill AR,94.6,3.1,0,0,0,2.3,26.2
Branch AR,89.2,3.3,0,2.5,4.2,0.8,44.6
Sulphur Rock AR,86.9,5,0,0,0,8,18.5
Datto AR,100,0,0,0,0,0,21.2
Nimmons AR,100,0,0,0,0,0,23.5
Gassville AR,84,12.4,0,1.8,0.4,1.3,16.1
Zinc AR,88.9,0,0,11.1,0,0,30.6
Anthonyville AR,73.5,22.1,0,4.4,0,0,36.4
Russell AR,75.3,16.9,0,7.8,0,0,20.5
Aubrey AR,63.4,7.3,0,29.3,0,0,13.2
Haynes AR,100,0,0,0,0,0,20.6
Casa AR,71.4,7.9,0,0,20.6,0,33.7
Jericho AR,100,0,0,0,0,0,19
Bono AR,87.7,8.6,1.1,1.6,1.1,0,18.3
Houston AR,96.1,0,1.3,0,2.6,0,26.3
Paris AR,90.4,4.3,0,0.9,4.4,0,14.9
Ratcliff AR,69.4,30.6,0,0,0,0,22.2
Almyra AR,84.4,14.3,0,0,0,1.4,19.6
Gillett AR,76.4,17.3,0,2.7,1.9,1.6,18
Biggers AR,79.5,12.8,0,4.3,2.6,0.9,23
Pangburn AR,83.2,10.2,0,6.6,0,0,19.7
Delight AR,63.3,33.8,0,2.9,0,0,29.5
Holly Grove AR,62.5,35.8,0,0,1.7,0,28.3
Elaine AR,84.9,6.4,0,2.8,6,0,21.6
Rector AR,80.5,9,0,4.8,2.5,3.3,20.6
Sidney AR,65.3,31.9,0,2.8,0,0,27
Clarkedale AR,85.2,3.7,0,0,10.6,0.5,25.2
Midway AR,90.6,8,0.9,0,0.4,0,26
Briarcliff AR,83.9,13.8,0,0,1.1,1.1,18.3
Cherokee Village AR,81.5,12,0,1.5,5,0,21
Wilson AR,81,11.9,0,3.4,2.3,1.4,20
Wilton AR,81.1,16.2,0,0,2.7,0,22.2
Winchester AR,79.4,15.9,0,4.8,0,0,21.5
Lexa AR,93.2,6.1,0,0.7,0,0,40.7
Lockesburg AR,70.7,17.8,3,0.3,3,5.3,31.9
Cushman AR,87.4,7.1,0,0,2.7,2.7,22.3
Evening Shade AR,73,11.3,0,9.4,6.3,0,25.1
Fisher AR,84.7,8.7,0,0,6.6,0,27.9
Fouke AR,76.4,17.1,0,2.5,4,0,22.2
Fulton AR,80,14.3,0,0,5.7,0,26.1
Gilmore AR,58.9,0,0,0,30.4,10.7,20.8
Adona AR,78.9,11,0,3.7,2.8,3.7,34.6
Campbell Station AR,97.7,2.3,0,0,0,0,13.7
Caraway AR,75.9,22.3,0,0.9,0.9,0,25.1
De Valls Bluff AR,89.4,4,0,2,0.5,4,26.2
Dyer AR,90.4,9.6,0,0,0,0,19.8
Greenway AR,100,0,0,0,0,0,25.6
Grubbs AR,88.3,3.6,0,3.6,1.5,3,17.2
Harrell AR,84.2,12.3,0,2.1,0,1.4,24.4
Helena-West Helena AR,73.9,20.7,0.1,2.4,1.5,1.3,16
Jerome AR,100,0,0,0,0,0,0
Knobel AR,84.2,13.2,0,0,0,2.6,34.7
Knoxville AR,77.9,16.1,0.5,0,5.5,0,18.3
Lake City AR,80.9,15.5,0,1.4,0.7,1.6,23.6
Luxora AR,85.1,14.9,0,0,0,0,18.5
McCaskill AR,68.2,9.1,0,0,0,22.7,25.5
Pollard AR,96.4,2.4,0,0,1.2,0,25.1
Pottsville AR,91.3,6.6,0,0,1.8,0.3,19.9
Reyno AR,76,14.7,0,2.7,3.3,3.3,28.9
Rockport AR,82.1,12.3,0,1.3,4.1,0.3,19.5
Wabbaseka AR,66.2,12.2,0,12.2,6.8,2.7,23
Mount Vernon AR,77.3,20.5,0,0,2.3,0,28.7
Oakhaven AR,69.6,30.4,0,0,0,0,23.9
Ogden AR,89.6,3.9,0,0,6.5,0,22
Ozan AR,96.6,0,0,0,3.4,0,38
Patterson AR,72.1,26.5,0,1.4,0,0,17.4
Peach Orchard AR,86.4,9.1,0,0,4.5,0,32.3
Perrytown AR,87.8,8.7,0,0,1.7,1.7,14.9
Sunset AR,75.3,20.6,0,4.1,0,0,12
Tinsman AR,69,10.3,0,0,3.4,17.2,20.5
Coy AR,100,0,0,0,0,0,32.7
St. Francis AR,91.5,8.5,0,0,0,0,37.6
