city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Lowndesboro AL,95.6,4.4,0,0,0,0,21.1
Brookside AL,86.9,11.7,0,0,0,1.4,24.5
Gardendale AL,85.9,8.8,0,1,3.9,0.4,24.9
Graysville AL,92.5,5.8,0.6,0,1.1,0,27.9
Hueytown AL,84.3,11.2,0,0.2,2.3,2.1,27.4
Trafford AL,95.4,4.6,0,0,0,0,34.3
Reece City AL,84.6,11.8,0,0,3.7,0,24.9
Fort Deposit AL,95.2,4,0,0.9,0,0,27.9
Toxey AL,75.8,15.2,0,9.1,0,0,26.5
Altoona AL,88.2,11.3,0,0,0.6,0,44.8
Benton AL,95.5,4.5,0,0,0,0,0
Mosses AL,79.1,18.1,2.8,0,0,0,31.1
Ohatchee AL,91.3,8.1,0,0,0,0.6,33.3
New Brockton AL,85.5,9.7,0,0.4,0.4,4.1,22.4
Madrid AL,95.9,2.7,0,0,0,1.4,26.4
Oakman AL,90.6,8.5,0,0.9,0,0,26.2
Sylvan Springs AL,95.8,3.2,0,0,1,0,29.5
Birmingham AL,80.3,11.2,2.4,2.7,2,1.5,21.5
Helena AL,91.5,3.5,0,0.5,2.9,1.5,30.9
Hoover AL,85.7,7.9,0.2,0.4,5.1,0.7,23.1
Midfield AL,83.4,10,0.8,0.8,5,0,22.8
Vestavia Hills AL,84.8,6.7,0.1,0.8,6.9,0.7,20.3
Andalusia AL,89.5,4.8,0,0.7,3.9,1.2,16.5
Horn Hill AL,72.7,20.2,5.1,0,2,0,25.9
Onycha AL,91.9,0,0,0,0,8.1,34.6
Red Level AL,82.7,17.3,0,0,0,0,20.2
Berry AL,81.2,17.3,0,0,1.1,0.4,29
Belk AL,82.1,12.5,0,5.4,0,0,16.2
Anniston AL,78.3,12.7,0.4,2.5,5.1,0.9,23.7
Atmore AL,91,8.5,0,0,0.5,0,17.8
Lineville AL,90,6.5,0,2.6,0.9,0,19.8
Heflin AL,79.6,18.8,0,0,1.5,0,28.1
Akron AL,100,0,0,0,0,0,40.8
Moundville AL,95.7,4.3,0,0,0,0,28.5
Guntersville AL,84.2,10.2,0.9,1.1,3.2,0.4,21.4
Pollard AL,73.4,20.3,0,0,3.1,3.1,17.8
Goshen AL,64.9,7.2,0,9.9,18,0,23.2
Bay Minette AL,87.8,4.3,0,1.6,3.7,2.6,22
Elberta AL,81.9,8.3,0,2.6,5.3,1.9,21.4
Orange Beach AL,83.6,6.2,0,0.7,7.9,1.7,21.6
Moody AL,89.5,5.4,0.2,0.3,3.9,0.7,26.8
Smiths Station AL,91.7,4.8,0,0,2.4,1,24.8
Kellyton AL,100,0,0,0,0,0,17.3
Woodstock AL,91,3.3,0.8,0,4.9,0,29.7
Valley Grande AL,88.5,9.7,0,0,0.9,0.9,19.8
Westover AL,87.6,6,0,0,3.9,2.4,33.7
Center Point AL,87.9,9.5,0.6,0,1.6,0.5,27.7
Indian Springs Village AL,83.2,8.1,0.6,2.5,3.4,2.1,26.5
Fruithurst AL,84.9,12.6,0,2.5,0,0,37.5
Bakerhill AL,79.5,17,0,2.3,1.1,0,26.1
Creola AL,86,10.3,0,1.4,2.3,0,30.2
Ashford AL,86.2,7.6,0,0,5.4,0.8,25.9
Ashland AL,89.6,4.2,0,1.7,0.7,3.7,24.3
Ashville AL,82.2,10.9,0,0,1.9,5,31.1
Butler AL,85.7,7.5,0,4,2,0.8,18.8
Camden AL,87.4,7.2,0,3.6,1.9,0,19.8
Chelsea AL,84.8,8.4,0,1.2,4.6,0.9,30.3
Clio AL,82.7,16,0,0,0,1.3,32.1
Coaling AL,85.7,7.4,1.1,0.2,4.7,0.9,25.3
Eutaw AL,92.2,6.1,0,0,0,1.8,25
Florala AL,75.2,21.9,2.3,0.6,0,0,28.1
Reform AL,87,7.6,0.9,2.8,1.7,0,29
Springville AL,82.1,7.7,0,2.6,4.1,3.5,30.6
Stevenson AL,83,6.8,0,6.4,0.7,3.2,23.4
Uniontown AL,82.9,17.1,0,0,0,0,34.6
Pike Road AL,87.4,7.6,0,0,5,0,25.9
Jemison AL,81.9,11.6,0,1.6,1.1,3.9,33
Goodwater AL,81.3,11.5,5.2,0,0.9,1.1,25.8
Henagar AL,87.9,3,0,2.8,6.4,0,23.7
